,url,name,developer,publisher,month,year,total_reviews,percent_positive,prices,sameDevPub,esrb,appid,onlinePVP,singlePlayer,onlineCoop,tradingCards,microtransactions,crossPlatform,mmo,account,achievement,remotePlay,controller,agreement,cloud,hasPegi,total_reviews30,percent_positive30,concurrent
13,https://store.steampowered.com/app/381210/Dead_by_Daylight,Dead by Daylight,Behaviour Interactive Inc.,Behaviour Interactive Inc.,Jun,2016,274935,0.82,19.99,1,m,381210,1,0,1,1,0,0,0,0,1,1,1,1,1,1,6559,0.87,42963
14,https://store.steampowered.com/app/1250410/Microsoft_Flight_Simulator,Microsoft Flight Simulator,Asobo Studio,Xbox Game Studios,Aug,2020,14952,0.72,59.99,0,e,1250410,0,1,0,0,1,0,0,1,1,0,1,0,0,1,2234,0.65,9339
15,https://store.steampowered.com/app/271590/Grand_Theft_Auto_V,Grand Theft Auto V,Rockstar North,Rockstar Games,Apr,2015,841021,0.8,29.99,0,m,271590,0,1,0,0,0,0,0,1,1,1,1,0,0,1,12354,0.9,88222
16,https://store.steampowered.com/app/39210/FINAL_FANTASY_XIV_Online,FINAL FANTASY XIV Online,Square Enix,Square Enix,Feb,2014,24626,0.86,19.99,1,t,39210,1,1,1,0,0,1,1,0,0,1,0,0,0,1,727,0.89,28916
17,https://store.steampowered.com/app/582660/Black_Desert_Online,Black Desert Online,Pearl Abyss,Kakao Games Europe B.V.,May,2017,27208,0.75,9.99,0,n,582660,1,0,1,1,1,0,1,1,0,0,0,0,0,0,586,0.82,16473
18,https://store.steampowered.com/app/412020/Metro_Exodus,Metro Exodus,4A Games,Deep Silver ,Feb,2019,27784,0.85,39.99,0,m,412020,0,1,0,1,0,0,0,0,1,1,1,1,1,1,2615,0.85,1003
19,https://store.steampowered.com/app/440900/Conan_Exiles,Conan Exiles,Funcom,Funcom,May,2018,41038,0.77,39.99,1,n,440900,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1679,0.8,9913
20,https://store.steampowered.com/app/236390/War_Thunder,War Thunder,Gaijin Entertainment,Gaijin Distribution KFT,Aug,2013,178059,0.8,0.0,0,t,236390,0,1,0,0,1,1,1,0,1,1,0,0,0,1,4414,0.79,52407
21,https://store.steampowered.com/app/548430/Deep_Rock_Galactic,Deep Rock Galactic,Ghost Ship Games,Coffee Stain Publishing,May,2020,42347,0.96,29.99,0,n,548430,0,1,1,1,0,0,0,0,1,1,1,0,1,0,2166,0.96,10697
22,https://store.steampowered.com/app/252490/Rust,Rust,Facepunch Studios,Facepunch Studios,Feb,2018,375523,0.84,39.99,1,n,252490,1,0,1,1,1,1,1,0,1,1,0,1,0,0,6745,0.9,94710
23,https://store.steampowered.com/app/971996/Among_Us__Mini_Crewmate_Bundle,Among Us - Mini Crewmate Bundle,Innersloth,-,Jun,2019,991,0.97,2.99,0,n,971996,1,0,1,0,1,1,0,0,0,0,0,0,0,0,744,0.97,0
24,https://store.steampowered.com/app/440/Team_Fortress_2,Team Fortress 2,Valve,Valve,Oct,2007,714150,0.94,0.0,1,n,440,0,0,0,1,1,1,0,0,1,1,0,0,0,0,11564,0.94,83264
